code,title,section,table,source
0016070,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Open Approach (Nasopharynx)",0,001,tables
0016071,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Open Approach (Mastoid Sinus)",0,001,tables
0016072,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Open Approach (Atrium)",0,001,tables
0016073,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Open Approach (Blood Vessel)",0,001,tables
0016074,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Open Approach (Pleural Cavity)",0,001,tables
0016075,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Open Approach (Intestine)",0,001,tables
0016076,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Open Approach (Peritoneal Cavity)",0,001,tables
0016077,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Open Approach (Urinary Tract)",0,001,tables
0016078,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Open Approach (Bone Marrow)",0,001,tables
001607A,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Open Approach (Subgaleal Space)",0,001,tables
001607B,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Open Approach (Cerebral Cisterns)",0,001,tables
00160J0,"Bypass of Cerebral Ventricle with Synthetic Substitute, Open Approach (Nasopharynx)",0,001,tables
00160J1,"Bypass of Cerebral Ventricle with Synthetic Substitute, Open Approach (Mastoid Sinus)",0,001,tables
00160J2,"Bypass of Cerebral Ventricle with Synthetic Substitute, Open Approach (Atrium)",0,001,tables
00160J3,"Bypass of Cerebral Ventricle with Synthetic Substitute, Open Approach (Blood Vessel)",0,001,tables
00160J4,"Bypass of Cerebral Ventricle with Synthetic Substitute, Open Approach (Pleural Cavity)",0,001,tables
00160J5,"Bypass of Cerebral Ventricle with Synthetic Substitute, Open Approach (Intestine)",0,001,tables
00160J6,"Bypass of Cerebral Ventricle with Synthetic Substitute, Open Approach (Peritoneal Cavity)",0,001,tables
00160J7,"Bypass of Cerebral Ventricle with Synthetic Substitute, Open Approach (Urinary Tract)",0,001,tables
00160J8,"Bypass of Cerebral Ventricle with Synthetic Substitute, Open Approach (Bone Marrow)",0,001,tables
00160JA,"Bypass of Cerebral Ventricle with Synthetic Substitute, Open Approach (Subgaleal Space)",0,001,tables
00160JB,"Bypass of Cerebral Ventricle with Synthetic Substitute, Open Approach (Cerebral Cisterns)",0,001,tables
00160K0,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Open Approach (Nasopharynx)",0,001,tables
00160K1,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Open Approach (Mastoid Sinus)",0,001,tables
00160K2,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Open Approach (Atrium)",0,001,tables
00160K3,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Open Approach (Blood Vessel)",0,001,tables
00160K4,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Open Approach (Pleural Cavity)",0,001,tables
00160K5,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Open Approach (Intestine)",0,001,tables
00160K6,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Open Approach (Peritoneal Cavity)",0,001,tables
00160K7,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Open Approach (Urinary Tract)",0,001,tables
00160K8,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Open Approach (Bone Marrow)",0,001,tables
00160KA,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Open Approach (Subgaleal Space)",0,001,tables
00160KB,"Bypass of Cerebral Ventricle with Nonautologous Tissue Substitute, Open Approach (Cerebral Cisterns)",0,001,tables
0016370,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Approach (Nasopharynx)",0,001,tables
0016371,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Approach (Mastoid Sinus)",0,001,tables
0016372,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Approach (Atrium)",0,001,tables
0016373,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Approach (Blood Vessel)",0,001,tables
0016374,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Approach (Pleural Cavity)",0,001,tables
0016375,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Approach (Intestine)",0,001,tables
0016376,"Bypass of Cerebral Ventricle with Autologous Tissue Substitute, Percutaneous Approach (Peritoneal Cavity)",0,001,tables
